Date,YearMonth,URL,Primary_Search_Intent,SEMrush_Best_Position,Tracked_Keywords_Count,Total_Keyword_Search_Volume,GSC_Position,Impressions,Clicks,CTR,Completed_Orders,Revenue,Revenue_Per_Click,Conversion_Rate_%,MoM_Revenue_Growth_%
2024-08-01,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,13.8,231,8,0.0346,0,0.0,0.0,0.0,
2024-08-02,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,12.6,217,12,0.0553,1,121.68,10.14,8.33,
2024-08-03,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,17.8,251,15,0.0598,0,0.0,0.0,0.0,
2024-08-04,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,16.3,254,4,0.0157,0,0.0,0.0,0.0,
2024-08-05,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,10.5,222,5,0.0225,0,0.0,0.0,0.0,
2024-08-06,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,15.8,262,12,0.0458,0,0.0,0.0,0.0,
2024-08-07,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,12.5,277,14,0.0505,0,0.0,0.0,0.0,
2024-08-08,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,10.1,274,16,0.0584,0,0.0,0.0,0.0,
2024-08-09,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.2,221,10,0.0452,2,231.6,23.16,20.0,
2024-08-10,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,16.0,239,9,0.0377,0,0.0,0.0,0.0,
2024-08-11,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,14.5,224,7,0.0312,1,124.81,17.83,14.29,
2024-08-12,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,14.1,258,17,0.0659,0,0.0,0.0,0.0,
2024-08-13,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.7,215,14,0.0651,0,0.0,0.0,0.0,
2024-08-14,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.3,261,13,0.0498,1,144.07,11.08,7.69,
2024-08-15,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,12.4,246,9,0.0366,0,0.0,0.0,0.0,
2024-08-16,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,10.4,231,4,0.0173,0,0.0,0.0,0.0,
2024-08-17,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,14.8,278,10,0.036,0,0.0,0.0,0.0,
2024-08-18,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,10.7,279,17,0.0609,1,152.64,8.98,5.88,
2024-08-19,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,15.4,226,10,0.0442,2,240.19,24.02,20.0,
2024-08-20,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,17.7,243,15,0.0617,1,124.86,8.32,6.67,
2024-08-21,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,12.7,272,12,0.0441,1,144.74,12.06,8.33,
2024-08-22,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,10.7,230,6,0.0261,1,126.32,21.05,16.67,
2024-08-23,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.3,243,13,0.0535,0,0.0,0.0,0.0,
2024-08-24,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,13.7,263,11,0.0418,0,0.0,0.0,0.0,
2024-08-25,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,15.6,236,12,0.0508,0,0.0,0.0,0.0,
2024-08-26,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,19.5,261,6,0.023,0,0.0,0.0,0.0,
2024-08-27,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,10.8,226,13,0.0575,0,0.0,0.0,0.0,
2024-08-28,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,13.2,244,12,0.0492,0,0.0,0.0,0.0,
2024-08-29,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,16.1,271,15,0.0554,0,0.0,0.0,0.0,
2024-08-30,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,13.5,226,10,0.0442,0,0.0,0.0,0.0,
2024-08-31,2024-08,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,8.5,269,10,0.0372,2,287.46,28.75,20.0,
2024-09-01,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,12.2,227,6,0.0264,2,276.02,46.0,33.33,-13.81
2024-09-02,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.6,272,12,0.0441,0,0.0,0.0,0.0,-13.81
2024-09-03,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.7,282,7,0.0248,0,0.0,0.0,0.0,-13.81
2024-09-04,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,18.4,217,9,0.0415,1,117.27,13.03,11.11,-13.81
2024-09-05,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,15.9,274,6,0.0219,0,0.0,0.0,0.0,-13.81
2024-09-06,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,14.8,239,7,0.0293,0,0.0,0.0,0.0,-13.81
2024-09-07,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,12.9,245,12,0.049,0,0.0,0.0,0.0,-13.81
2024-09-08,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.8,234,10,0.0427,0,0.0,0.0,0.0,-13.81
2024-09-09,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,15.6,242,10,0.0413,0,0.0,0.0,0.0,-13.81
2024-09-10,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,14.3,228,11,0.0482,0,0.0,0.0,0.0,-13.81
2024-09-11,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.7,237,9,0.038,0,0.0,0.0,0.0,-13.81
2024-09-12,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.4,218,12,0.055,2,299.89,24.99,16.67,-13.81
2024-09-13,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,19.0,281,13,0.0463,0,0.0,0.0,0.0,-13.81
2024-09-14,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,8.6,283,15,0.053,0,0.0,0.0,0.0,-13.81
2024-09-15,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,16.5,217,6,0.0276,0,0.0,0.0,0.0,-13.81
2024-09-16,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,13.7,284,9,0.0317,1,154.89,17.21,11.11,-13.81
2024-09-17,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,17.7,271,11,0.0406,0,0.0,0.0,0.0,-13.81
2024-09-18,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,12.5,269,11,0.0409,0,0.0,0.0,0.0,-13.81
2024-09-19,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,15.5,284,14,0.0493,0,0.0,0.0,0.0,-13.81
2024-09-20,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,9.8,230,6,0.0261,1,116.88,19.48,16.67,-13.81
2024-09-21,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,8.7,234,10,0.0427,0,0.0,0.0,0.0,-13.81
2024-09-22,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,15.3,212,6,0.0283,0,0.0,0.0,0.0,-13.81
2024-09-23,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,13.6,278,9,0.0324,0,0.0,0.0,0.0,-13.81
2024-09-24,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,12.7,241,10,0.0415,0,0.0,0.0,0.0,-13.81
2024-09-25,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,10.5,243,16,0.0658,0,0.0,0.0,0.0,-13.81
2024-09-26,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.3,267,13,0.0487,0,0.0,0.0,0.0,-13.81
2024-09-27,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.7,286,5,0.0175,1,118.41,23.68,20.0,-13.81
2024-09-28,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,14.0,233,12,0.0515,0,0.0,0.0,0.0,-13.81
2024-09-29,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,14.0,222,16,0.0721,0,0.0,0.0,0.0,-13.81
2024-09-30,2024-09,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,9.7,244,10,0.041,0,0.0,0.0,0.0,-13.81
2024-10-01,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,5.3,289,7,0.0242,0,0.0,0.0,0.0,25.27
2024-10-02,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.2,244,5,0.0205,0,0.0,0.0,0.0,25.27
2024-10-03,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,12.0,250,8,0.032,0,0.0,0.0,0.0,25.27
2024-10-04,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,16.4,240,11,0.0458,1,152.7,13.88,9.09,25.27
2024-10-05,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,10.9,236,10,0.0424,0,0.0,0.0,0.0,25.27
2024-10-06,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,10.4,290,12,0.0414,0,0.0,0.0,0.0,25.27
2024-10-07,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,10.6,286,10,0.035,0,0.0,0.0,0.0,25.27
2024-10-08,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,8.4,244,12,0.0492,0,0.0,0.0,0.0,25.27
2024-10-09,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,14.1,265,5,0.0189,1,146.73,29.35,20.0,25.27
2024-10-10,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.6,250,11,0.044,0,0.0,0.0,0.0,25.27
2024-10-11,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.1,231,4,0.0173,1,138.0,34.5,25.0,25.27
2024-10-12,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.0,281,5,0.0178,0,0.0,0.0,0.0,25.27
2024-10-13,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,8.6,252,11,0.0437,0,0.0,0.0,0.0,25.27
2024-10-14,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,8.9,281,15,0.0534,0,0.0,0.0,0.0,25.27
2024-10-15,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,5.7,231,14,0.0606,0,0.0,0.0,0.0,25.27
2024-10-16,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,14.2,234,11,0.047,0,0.0,0.0,0.0,25.27
2024-10-17,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,9.3,241,11,0.0456,1,150.03,13.64,9.09,25.27
2024-10-18,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,12.4,270,16,0.0593,1,119.07,7.44,6.25,25.27
2024-10-19,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,6.6,277,8,0.0289,0,0.0,0.0,0.0,25.27
2024-10-20,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,9.1,281,8,0.0285,0,0.0,0.0,0.0,25.27
2024-10-21,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,8.0,302,21,0.0695,0,0.0,0.0,0.0,25.27
2024-10-22,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,17.1,299,11,0.0368,1,152.46,13.86,9.09,25.27
2024-10-23,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,13.5,280,13,0.0464,0,0.0,0.0,0.0,25.27
2024-10-24,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,9.6,233,11,0.0472,0,0.0,0.0,0.0,25.27
2024-10-25,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,8.6,286,11,0.0385,0,0.0,0.0,0.0,25.27
2024-10-26,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,15.6,242,5,0.0207,1,129.92,25.98,20.0,25.27
2024-10-27,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,6.1,277,15,0.0542,2,276.97,18.46,13.33,25.27
2024-10-28,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,7.4,237,10,0.0422,2,299.25,29.92,20.0,25.27
2024-10-29,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.0,308,11,0.0357,0,0.0,0.0,0.0,25.27
2024-10-30,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,15.1,238,5,0.021,0,0.0,0.0,0.0,25.27
2024-10-31,2024-10,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,13.3,319,14,0.0439,0,0.0,0.0,0.0,25.27
2024-11-01,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,9.6,310,16,0.0516,0,0.0,0.0,0.0,13.64
2024-11-02,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,14.2,242,16,0.0661,0,0.0,0.0,0.0,13.64
2024-11-03,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,8.5,259,5,0.0193,1,152.33,30.47,20.0,13.64
2024-11-04,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,1.7,257,9,0.035,0,0.0,0.0,0.0,13.64
2024-11-05,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,15.1,266,5,0.0188,1,142.82,28.56,20.0,13.64
2024-11-06,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,13.3,278,11,0.0396,0,0.0,0.0,0.0,13.64
2024-11-07,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,12.7,288,8,0.0278,0,0.0,0.0,0.0,13.64
2024-11-08,2024-11,fitcommerce.com/blog/beginner-strength-training-plan,Informational,3,4,6906,11.0,264,9,0.0341,0,0.0,0.0,0.0,13.64
